"","Date","MAPE","RMSE","peak","peak_pred"
"160",2017-06-09,2.43365648739196,407.893099461274,"17","20"
"161",2017-06-10,2.01392479749717,272.454117962207,"20","20"
"162",2017-06-11,6.59625332409704,811.539730194204,"20","20"
"163",2017-06-12,1.60174717701451,208.487951347877,"20","20"
"164",2017-06-13,2.53320809901663,404.48188679812,"20","18"
"165",2017-06-14,5.55144929682562,968.98652856049,"17","19"
"166",2017-06-15,7.2284300964575,1246.80009042505,"17","17"
"167",2017-06-16,2.28634155521755,453.166258307458,"16","17"
"168",2017-06-17,2.15120241793476,360.978075357107,"17","18"
"169",2017-06-18,3.11644935090834,593.464820987209,"17","17"
"170",2017-06-19,7.0364077446247,1353.04979597864,"17","17"
"171",2017-06-20,2.98045398786055,628.264015185067,"17","17"
"172",2017-06-21,3.75565699443225,647.46346973576,"16","17"
"173",2017-06-22,2.96685482281472,464.392409436421,"16","16"
"174",2017-06-23,2.32235252424657,399.000257986215,"16","17"
"175",2017-06-24,2.41601994787398,449.952825972563,"17","18"
"176",2017-06-25,2.35113012272206,383.646732309259,"17","17"
"177",2017-06-26,6.03083526527718,1262.00820101171,"16","17"
"178",2017-06-27,3.15691676819966,636.721127395333,"16","16"
"179",2017-06-28,4.64612325604054,782.521192475332,"17","17"
"180",2017-06-29,4.16674162503802,582.916768562488,"17","16"
"181",2017-06-30,3.27439696079521,507.780160858611,"16","16"
"182",2017-07-01,2.72254973515359,376.177763824189,"17","17"
"183",2017-07-02,4.25956697683192,810.519450104861,"18","17"
"184",2017-07-03,4.82977653960091,835.835558751804,"17","16"
"185",2017-07-04,5.1076280293932,820.967994248684,"16","16"
"186",2017-07-05,4.20290659274611,741.726633533361,"17","17"
"187",2017-07-06,6.91791637613311,1274.94902706345,"17","16"
"188",2017-07-07,4.07518179772617,903.320562070439,"16","15"
"189",2017-07-08,5.55575756233811,1159.06977866393,"15","17"
"190",2017-07-09,3.59396780363459,707.741233253488,"16","16"
"191",2017-07-10,3.55810903723137,870.994131518643,"16","17"
"192",2017-07-11,7.41567854571947,1192.31178632931,"16","16"
"193",2017-07-12,3.91733416598962,713.568841516185,"16","17"
"194",2017-07-13,2.92655636847487,601.899114240062,"16","16"
"195",2017-07-14,1.55243705961751,288.802247165767,"16","17"
